,id,tweet,fecha_hora
105,1520473803280822273,1941 muchas gracias por leer las propuestas y escucharnos  vamos para arriba! 💪🏽🇨🇴,2022-04-30 18:42:58+00:00
106,1520473459335258114,hasta el final  mariana! la educación será nuestra revolución  un abrazo ,2022-04-30 18:41:36+00:00
107,1520471122755690497,no hay que firmarlo  el compromiso mío y de  es claro  elcaribecambiará,2022-04-30 18:32:19+00:00
108,1520462787914444800,¿qué tal le va a  pedaleando? 😅 nos fuimos en bicicoche por gaira  un barrio que quiere oportunidades  fajardoengairaaquí comienza el cambio que colombia necesita  lavueltaalcaribe 💪🏽🇨🇴 ,2022-04-30 17:59:12+00:00
109,1520455884148776960,es día del clásicopaisa y de la foto clásica 🤣  no fui arquero pero bastantes atajadas le hemos hecho a la corrupción y lo haremos de nuevo  así colombiacambiará ,2022-04-30 17:31:46+00:00
110,1520440565560750081,no podemos seguir respondiendo a la criminalidad de forma coyuntural  necesitamos inteligencia renovada que ataque de manera frontal a la criminalidad  colombia se merece vivir en paz  lavueltaalcaribe ,2022-04-30 16:30:53+00:00
111,1520430077200244738,estamos comprometidos con la construcción de un caribe sin pobreza  competitivo y con oportunidades  hoy desde santa marta reafirmo mi compromiso desde este espacio con jóvenes y el sector turís local  transmisión aquí 👉🏽  ,2022-04-30 15:49:13+00:00
112,1520424090816987137,colombia avanzará cuando podamos ser diferentes sin ser enemigos  incomprensible que ataquen a una persona de las cualidades de egan por decir que quiere un presidente que una al país y que no está de acuerdo con los extremos  si hay alguien que nos une como sociedad es él  ,2022-04-30 15:25:26+00:00
113,1520412383235256321,vamos a trabajar por las micro  pequeñas y medianas empresas del magdalena  las vamos a formalizar para impulsar el desarrollo regional del caribe  ¡lo hemos hecho y lo lograremos! lavueltaalcaribe 💪🏽🇨🇴 ,2022-04-30 14:38:54+00:00
114,1520403583996469249,para poder generar riqueza y avanzar en las regiones  necesitamos liderazgo polí y público que cuide a colombia  magdalena tiene un inmenso potencial que con responsabilidad  y de la mano del empresariado  queremos hacer brillar  lavueltaalcaribe 💪🏽🇨🇴 ,2022-04-30 14:03:56+00:00
115,1520398418656600065,si colombia y el cesar no se quitan las cadenas de la corrupción  nunca resolveremos el hambre ni lograremos que las oportunidades le lleguen a la gente  no se puede negociar ni convivir con la corrupción y ese es el primer paso para que colombia cambie  lavueltaalcaribe ,2022-04-30 13:43:25+00:00
116,1520394374978416641,el infaltable cayeye para el desayuno en santa marta  ,2022-04-30 13:27:21+00:00
117,1520383487924129792,buenos días desde santa marta  seguimos en esta gran vuelta al caribe  gracias a todas y todos por los mensajes y el apoyo  ¡nuestra lucha es hasta el final! 💪🏽🇨🇴 firmesconfajardo  ,2022-04-30 12:44:05+00:00
118,1520251497933869056,un día muy duro  desde mi cuarto en el hotel en riohacha: no me puedo dormir sin escribir unas palabras  nunca en mi vida había recibido tantos mensajes de apoyo y solidaridad  no nos vamos a rendir  vamos a trabajar más duro  en valledupar y riohacha excelentes jornadas  gracias,2022-04-30 03:59:36+00:00
119,1520224052320911363,@_ajaytuque mi convicción tampoco la cambia una encuesta  la fortalece  firmeconfajardo,2022-04-30 02:10:33+00:00
