id_df|id|tweet|id_autor|geolocation|metrics|source|created_at
399|1524237112266178562|@moissangulo8 @quinterocalle no por el hp|1293703718286786560||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:57:01+00:00
400|1524237110705799168|#procuraduríadebolsillo ojalá la @cidh (comisión interamericana de derechos humanos) actúe rápido con medida cautelar para hacer respetar el voto popular en medellín; le están cobrando a @quinterocalle el haberles quitado @epmestamosahi al grupo empresarial antioqueño (gea)  |82978962||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:57:00+00:00
401|1524237107954425856|@quinterocalle total apoyo alcalde!!|1404640320885821442||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:57:00+00:00
402|1524237107157516288|@quinterocalle #quinterocorrupto utilizando la alcaldía de medellín para impulsar y apoyar a el candidato de la mafia  las farc  el eln  clan del golfo  cartel de los soles  maduro y diosdado  paramilitares  pacto de la picota  teodora de bolivar y sus extraditables  samper   🐀🐀🐀🐸🐀🐀🐀|992047388297781253||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:59+00:00
403|1524237101272899584|@quinterocalle el principio de la encanatoria  que maravilla |1499764970380222464||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:58+00:00
404|1524237101230968834|@quinterocalle @pgn_col  y el señor @comandante_ejc  para cuando vemos que ustedes pueden actuar de inmediato que pasa con el señor general?|1015141981||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:58+00:00
405|1524237096680140801|@quinterocalle 😁😁😁😁😁|557083025||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:57+00:00
406|1524237096474583040|@giraldogomezjj @om1982ortiz @guzcarvajal @milingpys @achristiandavid @quinterocalle @ivanduque bueno señor camaleón   respeto su manera de pensar  aunque empiece hablando de una cosa y termine diciendo otra jajaja chao  feliz noche !|4527023962||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:57+00:00
407|1524237096424296449|@marcmetaute @om1982ortiz @guzcarvajal @milingpys @achristiandavid @quinterocalle @ivanduque estoy perfectamente  le he dado argumentos  datos y contestado a sus risas de niña |1465549240965414914||{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:57+00:00
408|1524237092779266048|@quinterocalle la vergüenza es algo que no los acompaña y por eso ud  @petrogustavo @gustavobolivar @aabenedetti @roybarreras @piedadcordoba @ernestosamperp hacen  dicen lo que es en contra de la ley y luego salen a gritar  “nos están matando… no están sacando de los cargos públicos!” conchas!|277742341||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:56:56+00:00
409|1524237091542077441|@andresmontoyat @monaguillo1941 @quinterocalle bueno si lo ha hecho y que le pongan sanciones está bien  lo que pasa es lo siguiente  cuando otros personajes han hecho lo mismo obviamente apoyando el gobierno actual  no pasa nada y entonces ahí es donde te debería generar indignación porque solo la ley aplica en la oposición|1470619094315585538||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:56+00:00
410|1524237086009794561|@quinterocalle ¿ sus primeros convocados alcalde (s) ? |310536058||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:56:54+00:00
411|1524237085611331585|@jhonelvisv @asociaciondepre @movnaranja3 @petrogustavo @quinterocalle la malparida @pgn_col uribista suspendió a @quinterocalle por el juego de palabras #elcambioenprimera  todo el uribato bobolón celebra a rabiar en twitter  lo q no alcanzan a comprender  es q gracias a esa bruta malparida  ahora el @pactocol tiene un millón más de votos!! |1254738708||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:54+00:00
412|1524237081962336256|"@analista_32 @zlcj12 @quinterocalle ja  ni los que votaron por él lo quieren  lo quieren los ""lavaperros"" que se benefician de su alcaldía "|1503954561941348352||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:53+00:00
413|1524237078845960199|#quietoenprimera @quinterocalle @petrogustavo te duele?? me encanta !! 🤣🤣 |1516580445344915457||{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:53+00:00
414|1524237077960962048|@leonfredym @quinterocalle hablan los que tienen abierto una investigación en la corte suprema de justicia por transportar cocaina en su maleta   ahhh  verdad q sospechosamente esa investigación no avanza  que será?🤔🤔🤔|912871588642553856||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for iPhone|2022-05-11 03:56:52+00:00
415|1524237072957124608|@andressubirath @quinterocalle jajajajajaja|1501745257792294920||{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:51+00:00
416|1524237072206536709|@quinterocalle esooo pinturita pa la calle  muergano social- comunista |304616514||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:51+00:00
417|1524237070746726404|@quinterocalle @cidh|784141680291250177||{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}|Twitter for Android|2022-05-11 03:56:51+00:00
